transaction_id,date,merchant,category,group,amount,account,type,status,notes
TX00031,2025-01-01,Shell,Fuel,Transport,-48.13,Chase Sapphire,expense,cleared,
TX00032,2025-01-19,Best Buy,Shopping,Lifestyle,-62.21,Chase Sapphire,expense,cleared,
TX00033,2025-01-26,Target,Shopping,Lifestyle,-36.59,Chase Sapphire,expense,cleared,
TX00034,2025-01-16,Target,Shopping,Lifestyle,-198.81,Chase Sapphire,expense,cleared,
TX00035,2025-01-28,Target,Shopping,Lifestyle,-91.39,Chase Sapphire,expense,cleared,
TX00036,2025-02-01,Acme Corp Payroll,Salary,Income,4250.0,Chase Total Checking,income,cleared,recurring
TX00037,2025-02-15,Acme Corp Payroll,Salary,Income,4250.0,Chase Total Checking,income,cleared,recurring
TX00038,2025-02-02,Evergreen Apartments Rent,Rent,Housing,-2450.0,Chase Total Checking,expense,cleared,recurring
TX00039,2025-02-05,Student Loan Servicer,Debt Payment,Finance,-420.0,Chase Total Checking,expense,cleared,recurring
TX00040,2025-02-07,Vanguard Automatic Investment,Investments,Savings,-900.0,Chase Total Checking,investment,cleared,recurring
TX00041,2025-02-08,Ally Emergency Fund Transfer,Emergency Fund,Savings,-650.0,Chase Total Checking,savings,cleared,recurring
TX00042,2025-02-10,Netflix,Entertainment,Lifestyle,-15.49,Chase Sapphire,expense,cleared,recurring
TX00043,2025-02-11,Spotify Family,Entertainment,Lifestyle,-16.99,Amex Blue Cash,expense,cleared,recurring
TX00044,2025-02-12,Geico Auto Insurance,Insurance,Transport,-118.0,Chase Total Checking,expense,cleared,recurring
TX00045,2025-02-18,Electric Utility,Utilities,Housing,-108.0,Chase Total Checking,expense,cleared,recurring
TX00046,2025-02-22,Internet Fiber,Utilities,Housing,-79.99,Chase Total Checking,expense,cleared,recurring
TX00047,2025-02-03,Kroger,Groceries,Food,-88.99,Amex Blue Cash,expense,cleared,
TX00048,2025-02-26,Costco,Groceries,Food,-147.41,Amex Blue Cash,expense,cleared,
TX00049,2025-02-25,Kroger,Groceries,Food,-54.74,Amex Blue Cash,expense,cleared,
TX00050,2025-02-21,Safeway,Groceries,Food,-99.26,Amex Blue Cash,expense,cleared,
TX00051,2025-02-11,Kroger,Groceries,Food,-110.62,Amex Blue Cash,expense,cleared,
TX00052,2025-02-05,Trader Joes,Groceries,Food,-69.13,Amex Blue Cash,expense,cleared,
TX00053,2025-02-13,Safeway,Groceries,Food,-176.75,Amex Blue Cash,expense,cleared,
TX00054,2025-02-02,Safeway,Groceries,Food,-66.53,Amex Blue Cash,expense,cleared,
TX00055,2025-02-15,Trader Joes,Groceries,Food,-49.23,Amex Blue Cash,expense,cleared,
TX00056,2025-02-26,DoorDash,Dining Out,Food,-12.74,Chase Sapphire,expense,cleared,
TX00057,2025-02-11,Chipotle,Dining Out,Food,-18.26,Chase Sapphire,expense,cleared,
TX00058,2025-02-03,Uber Eats,Dining Out,Food,-10.24,Chase Sapphire,expense,cleared,
TX00059,2025-02-10,Uber Eats,Dining Out,Food,-51.58,Chase Sapphire,expense,cleared,
TX00060,2025-02-24,Uber Eats,Dining Out,Food,-65.47,Chase Sapphire,expense,cleared,
TX00061,2025-02-13,Starbucks,Dining Out,Food,-63.11,Chase Sapphire,expense,cleared,
TX00062,2025-02-04,DoorDash,Dining Out,Food,-36.64,Chase Sapphire,expense,cleared,
TX00063,2025-02-13,Exxon,Fuel,Transport,-68.65,Chase Sapphire,expense,cleared,
TX00064,2025-02-21,Exxon,Fuel,Transport,-65.45,Chase Sapphire,expense,cleared,
TX00065,2025-02-11,Shell,Fuel,Transport,-81.04,Chase Sapphire,expense,cleared,
TX00066,2025-02-04,Chevron,Fuel,Transport,-44.62,Chase Sapphire,expense,cleared,
TX00067,2025-02-14,Best Buy,Shopping,Lifestyle,-211.76,Chase Sapphire,expense,cleared,
TX00068,2025-02-20,Amazon,Shopping,Lifestyle,-41.57,Chase Sapphire,expense,cleared,
TX00069,2025-02-04,Best Buy,Shopping,Lifestyle,-163.89,Chase Sapphire,expense,cleared,
TX00070,2025-02-18,Target,Shopping,Lifestyle,-145.69,Chase Sapphire,expense,cleared,
TX00071,2025-03-01,Acme Corp Payroll,Salary,Income,4250.0,Chase Total Checking,income,cleared,recurring
TX00072,2025-03-15,Acme Corp Payroll,Salary,Income,4250.0,Chase Total Checking,income,cleared,recurring
TX00073,2025-03-02,Evergreen Apartments Rent,Rent,Housing,-2450.0,Chase Total Checking,expense,cleared,recurring
TX00074,2025-03-05,Student Loan Servicer,Debt Payment,Finance,-420.0,Chase Total Checking,expense,cleared,recurring
TX00075,2025-03-07,Vanguard Automatic Investment,Investments,Savings,-900.0,Chase Total Checking,investment,cleared,recurring
TX00076,2025-03-08,Ally Emergency Fund Transfer,Emergency Fund,Savings,-650.0,Chase Total Checking,savings,cleared,recurring
TX00077,2025-03-10,Netflix,Entertainment,Lifestyle,-15.49,Chase Sapphire,expense,cleared,recurring
TX00078,2025-03-11,Spotify Family,Entertainment,Lifestyle,-16.99,Amex Blue Cash,expense,cleared,recurring
TX00079,2025-03-12,Geico Auto Insurance,Insurance,Transport,-118.0,Chase Total Checking,expense,cleared,recurring
TX00080,2025-03-18,Electric Utility,Utilities,Housing,-157.0,Chase Total Checking,expense,cleared,recurring
TX00081,2025-03-22,Internet Fiber,Utilities,Housing,-79.99,Chase Total Checking,expense,cleared,recurring
TX00082,2025-03-13,Kroger,Groceries,Food,-122.08,Amex Blue Cash,expense,cleared,
TX00083,2025-03-18,Trader Joes,Groceries,Food,-159.29,Amex Blue Cash,expense,cleared,
TX00084,2025-03-21,Kroger,Groceries,Food,-133.2,Amex Blue Cash,expense,cleared,
TX00085,2025-03-20,Whole Foods,Groceries,Food,-67.16,Amex Blue Cash,expense,cleared,
TX00086,2025-03-26,Kroger,Groceries,Food,-143.87,Amex Blue Cash,expense,cleared,
TX00087,2025-03-27,Whole Foods,Groceries,Food,-123.36,Amex Blue Cash,expense,cleared,
TX00088,2025-03-04,Kroger,Groceries,Food,-159.22,Amex Blue Cash,expense,cleared,
TX00089,2025-03-28,Whole Foods,Groceries,Food,-137.94,Amex Blue Cash,expense,cleared,
TX00090,2025-03-25,Costco,Groceries,Food,-46.18,Amex Blue Cash,expense,cleared,
TX00091,2025-03-24,Uber Eats,Dining Out,Food,-22.98,Chase Sapphire,expense,cleared,
TX00092,2025-03-28,Starbucks,Dining Out,Food,-46.91,Chase Sapphire,expense,cleared,
TX00093,2025-03-02,Local Restaurant,Dining Out,Food,-67.77,Chase Sapphire,expense,cleared,
TX00094,2025-03-19,Chipotle,Dining Out,Food,-24.9,Chase Sapphire,expense,cleared,
TX00095,2025-03-10,Starbucks,Dining Out,Food,-74.49,Chase Sapphire,expense,cleared,
TX00096,2025-03-13,Chipotle,Dining Out,Food,-34.75,Chase Sapphire,expense,cleared,
TX00097,2025-03-26,Uber Eats,Dining Out,Food,-35.46,Chase Sapphire,expense,cleared,
TX00098,2025-03-09,Shell,Fuel,Transport,-64.27,Chase Sapphire,expense,cleared,
TX00099,2025-03-17,Shell,Fuel,Transport,-53.38,Chase Sapphire,expense,cleared,
TX00100,2025-03-02,Exxon,Fuel,Transport,-81.57,Chase Sapphire,expense,cleared,
TX00101,2025-03-23,Shell,Fuel,Transport,-62.87,Chase Sapphire,expense,cleared,
TX00102,2025-03-14,Best Buy,Shopping,Lifestyle,-124.07,Chase Sapphire,expense,cleared,
TX00103,2025-03-13,Target,Shopping,Lifestyle,-211.5,Chase Sapphire,expense,cleared,
TX00104,2025-03-15,Walmart,Shopping,Lifestyle,-89.88,Chase Sapphire,expense,cleared,
TX00105,2025-03-28,Amazon,Shopping,Lifestyle,-50.18,Chase Sapphire,expense,cleared,
TX00106,2025-04-01,Acme Corp Payroll,Salary,Income,4250.0,Chase Total Checking,income,cleared,recurring
TX00107,2025-04-15,Acme Corp Payroll,Salary,Income,4250.0,Chase Total Checking,income,cleared,recurring
TX00108,2025-04-02,Evergreen Apartments Rent,Rent,Housing,-2450.0,Chase Total Checking,expense,cleared,recurring
TX00109,2025-04-05,Student Loan Servicer,Debt Payment,Finance,-420.0,Chase Total Checking,expense,cleared,recurring
TX00110,2025-04-07,Vanguard Automatic Investment,Investments,Savings,-900.0,Chase Total Checking,investment,cleared,recurring
TX00111,2025-04-08,Ally Emergency Fund Transfer,Emergency Fund,Savings,-650.0,Chase Total Checking,savings,cleared,recurring
TX00112,2025-04-10,Netflix,Entertainment,Lifestyle,-15.49,Chase Sapphire,expense,cleared,recurring
TX00113,2025-04-11,Spotify Family,Entertainment,Lifestyle,-16.99,Amex Blue Cash,expense,cleared,recurring
TX00114,2025-04-12,Geico Auto Insurance,Insurance,Transport,-118.0,Chase Total Checking,expense,cleared,recurring
TX00115,2025-04-18,Electric Utility,Utilities,Housing,-141.0,Chase Total Checking,expense,cleared,recurring
TX00116,2025-04-22,Internet Fiber,Utilities,Housing,-79.99,Chase Total Checking,expense,cleared,recurring
TX00117,2025-04-07,Whole Foods,Groceries,Food,-102.96,Amex Blue Cash,expense,cleared,
TX00118,2025-04-04,Trader Joes,Groceries,Food,-165.09,Amex Blue Cash,expense,cleared,
TX00119,2025-04-12,Costco,Groceries,Food,-132.63,Amex Blue Cash,expense,cleared,
TX00120,2025-04-18,Kroger,Groceries,Food,-130.84,Amex Blue Cash,expense,cleared,
TX00121,2025-04-26,Costco,Groceries,Food,-52.06,Amex Blue Cash,expense,cleared,
TX00122,2025-04-16,Trader Joes,Groceries,Food,-108.13,Amex Blue Cash,expense,cleared,
TX00123,2025-04-09,Trader Joes,Groceries,Food,-102.87,Amex Blue Cash,expense,cleared,
TX00124,2025-04-19,Safeway,Groceries,Food,-132.52,Amex Blue Cash,expense,cleared,
TX00125,2025-04-10,Whole Foods,Groceries,Food,-153.04,Amex Blue Cash,expense,cleared,
TX00126,2025-04-10,Uber Eats,Dining Out,Food,-49.83,Chase Sapphire,expense,cleared,
TX00127,2025-04-15,Starbucks,Dining Out,Food,-59.6,Chase Sapphire,expense,cleared,
TX00128,2025-04-09,Starbucks,Dining Out,Food,-46.37,Chase Sapphire,expense,cleared,
TX00129,2025-04-01,Uber Eats,Dining Out,Food,-63.62,Chase Sapphire,expense,cleared,
TX00130,2025-04-14,Chipotle,Dining Out,Food,-48.81,Chase Sapphire,expense,cleared,
TX00131,2025-04-21,Uber Eats,Dining Out,Food,-57.59,Chase Sapphire,expense,cleared,
TX00132,2025-04-11,Starbucks,Dining Out,Food,-72.68,Chase Sapphire,expense,cleared,
TX00133,2025-04-14,Exxon,Fuel,Transport,-73.44,Chase Sapphire,expense,cleared,
TX00134,2025-04-08,Chevron,Fuel,Transport,-51.95,Chase Sapphire,expense,cleared,
TX00135,2025-04-04,Exxon,Fuel,Transport,-41.54,Chase Sapphire,expense,cleared,
TX00136,2025-04-05,Shell,Fuel,Transport,-50.18,Chase Sapphire,expense,cleared,
TX00137,2025-04-19,Walmart,Shopping,Lifestyle,-151.44,Chase Sapphire,expense,cleared,
TX00138,2025-04-07,Walmart,Shopping,Lifestyle,-114.16,Chase Sapphire,expense,cleared,
TX00139,2025-04-09,Target,Shopping,Lifestyle,-30.65,Chase Sapphire,expense,cleared,
TX00140,2025-04-23,Best Buy,Shopping,Lifestyle,-213.42,Chase Sapphire,expense,cleared,
TX00141,2025-05-01,Acme Corp Payroll,Salary,Income,4250.0,Chase Total Checking,income,cleared,recurring
TX00142,2025-05-15,Acme Corp Payroll,Salary,Income,4250.0,Chase Total Checking,income,cleared,recurring
TX00143,2025-05-02,Evergreen Apartments Rent,Rent,Housing,-2450.0,Chase Total Checking,expense,cleared,recurring
TX00144,2025-05-05,Student Loan Servicer,Debt Payment,Finance,-420.0,Chase Total Checking,expense,cleared,recurring
TX00145,2025-05-07,Vanguard Automatic Investment,Investments,Savings,-900.0,Chase Total Checking,investment,cleared,recurring
TX00146,2025-05-08,Ally Emergency Fund Transfer,Emergency Fund,Savings,-650.0,Chase Total Checking,savings,cleared,recurring
TX00147,2025-05-10,Netflix,Entertainment,Lifestyle,-15.49,Chase Sapphire,expense,cleared,recurring
TX00148,2025-05-11,Spotify Family,Entertainment,Lifestyle,-16.99,Amex Blue Cash,expense,cleared,recurring
TX00149,2025-05-12,Geico Auto Insurance,Insurance,Transport,-118.0,Chase Total Checking,expense,cleared,recurring
TX00150,2025-05-18,Electric Utility,Utilities,Housing,-168.0,Chase Total Checking,expense,cleared,recurring
TX00151,2025-05-22,Internet Fiber,Utilities,Housing,-79.99,Chase Total Checking,expense,cleared,recurring
TX00152,2025-05-27,Costco,Groceries,Food,-83.55,Amex Blue Cash,expense,cleared,
TX00153,2025-05-07,Whole Foods,Groceries,Food,-134.87,Amex Blue Cash,expense,cleared,
TX00154,2025-05-04,Kroger,Groceries,Food,-140.24,Amex Blue Cash,expense,cleared,
TX00155,2025-05-02,Trader Joes,Groceries,Food,-127.1,Amex Blue Cash,expense,cleared,
TX00156,2025-05-14,Safeway,Groceries,Food,-104.31,Amex Blue Cash,expense,cleared,
TX00157,2025-05-10,Kroger,Groceries,Food,-116.52,Amex Blue Cash,expense,cleared,
TX00158,2025-05-03,Costco,Groceries,Food,-77.56,Amex Blue Cash,expense,cleared,
TX00159,2025-05-01,Safeway,Groceries,Food,-59.54,Amex Blue Cash,expense,cleared,
TX00160,2025-05-28,Kroger,Groceries,Food,-126.58,Amex Blue Cash,expense,cleared,
TX00161,2025-05-11,Starbucks,Dining Out,Food,-30.47,Chase Sapphire,expense,cleared,
TX00162,2025-05-09,DoorDash,Dining Out,Food,-70.36,Chase Sapphire,expense,cleared,
TX00163,2025-05-18,Chipotle,Dining Out,Food,-73.64,Chase Sapphire,expense,cleared,
TX00164,2025-05-24,DoorDash,Dining Out,Food,-29.73,Chase Sapphire,expense,cleared,
TX00165,2025-05-05,DoorDash,Dining Out,Food,-65.48,Chase Sapphire,expense,cleared,
TX00166,2025-05-06,Uber Eats,Dining Out,Food,-69.58,Chase Sapphire,expense,cleared,
TX00167,2025-05-28,DoorDash,Dining Out,Food,-51.55,Chase Sapphire,expense,cleared,
TX00168,2025-05-13,Shell,Fuel,Transport,-62.68,Chase Sapphire,expense,cleared,
TX00169,2025-05-08,Chevron,Fuel,Transport,-48.98,Chase Sapphire,expense,cleared,
TX00170,2025-05-05,Chevron,Fuel,Transport,-53.46,Chase Sapphire,expense,cleared,
TX00171,2025-05-26,Shell,Fuel,Transport,-51.8,Chase Sapphire,expense,cleared,
TX00172,2025-05-17,Target,Shopping,Lifestyle,-127.76,Chase Sapphire,expense,cleared,
TX00173,2025-05-27,Amazon,Shopping,Lifestyle,-164.41,Chase Sapphire,expense,cleared,
TX00174,2025-05-08,Best Buy,Shopping,Lifestyle,-211.09,Chase Sapphire,expense,cleared,
TX00175,2025-05-20,Amazon,Shopping,Lifestyle,-68.84,Chase Sapphire,expense,cleared,
TX00176,2025-06-01,Acme Corp Payroll,Salary,Income,4250.0,Chase Total Checking,income,cleared,recurring
TX00177,2025-06-15,Acme Corp Payroll,Salary,Income,4250.0,Chase Total Checking,income,cleared,recurring
TX00178,2025-06-02,Evergreen Apartments Rent,Rent,Housing,-2450.0,Chase Total Checking,expense,cleared,recurring
TX00179,2025-06-05,Student Loan Servicer,Debt Payment,Finance,-420.0,Chase Total Checking,expense,cleared,recurring
TX00180,2025-06-07,Vanguard Automatic Investment,Investments,Savings,-900.0,Chase Total Checking,investment,cleared,recurring
TX00181,2025-06-08,Ally Emergency Fund Transfer,Emergency Fund,Savings,-650.0,Chase Total Checking,savings,cleared,recurring
TX00182,2025-06-10,Netflix,Entertainment,Lifestyle,-15.49,Chase Sapphire,expense,cleared,recurring
TX00183,2025-06-11,Spotify Family,Entertainment,Lifestyle,-16.99,Amex Blue Cash,expense,cleared,recurring
TX00184,2025-06-12,Geico Auto Insurance,Insurance,Transport,-118.0,Chase Total Checking,expense,cleared,recurring
TX00185,2025-06-18,Electric Utility,Utilities,Housing,-142.0,Chase Total Checking,expense,cleared,recurring
TX00186,2025-06-22,Internet Fiber,Utilities,Housing,-79.99,Chase Total Checking,expense,cleared,recurring
TX00187,2025-06-28,Costco,Groceries,Food,-112.35,Amex Blue Cash,expense,cleared,
TX00188,2025-06-14,Whole Foods,Groceries,Food,-137.16,Amex Blue Cash,expense,cleared,
TX00189,2025-06-07,Safeway,Groceries,Food,-128.19,Amex Blue Cash,expense,cleared,
TX00190,2025-06-02,Safeway,Groceries,Food,-129.85,Amex Blue Cash,expense,cleared,
TX00191,2025-06-12,Costco,Groceries,Food,-175.47,Amex Blue Cash,expense,cleared,
TX00192,2025-06-09,Costco,Groceries,Food,-164.79,Amex Blue Cash,expense,cleared,
TX00193,2025-06-25,Costco,Groceries,Food,-76.77,Amex Blue Cash,expense,cleared,
TX00194,2025-06-22,Kroger,Groceries,Food,-53.77,Amex Blue Cash,expense,cleared,
TX00195,2025-06-24,Trader Joes,Groceries,Food,-173.8,Amex Blue Cash,expense,cleared,
TX00196,2025-06-21,Chipotle,Dining Out,Food,-54.6,Chase Sapphire,expense,cleared,
TX00197,2025-06-25,DoorDash,Dining Out,Food,-61.76,Chase Sapphire,expense,cleared,
TX00198,2025-06-10,DoorDash,Dining Out,Food,-9.69,Chase Sapphire,expense,cleared,
TX00199,2025-06-03,Chipotle,Dining Out,Food,-29.63,Chase Sapphire,expense,cleared,
TX00200,2025-06-05,Chipotle,Dining Out,Food,-17.71,Chase Sapphire,expense,cleared,
TX00201,2025-06-23,Local Restaurant,Dining Out,Food,-17.31,Chase Sapphire,expense,cleared,
TX00202,2025-06-18,Local Restaurant,Dining Out,Food,-32.86,Chase Sapphire,expense,cleared,
TX00203,2025-06-28,Shell,Fuel,Transport,-63.71,Chase Sapphire,expense,cleared,
TX00204,2025-06-27,Shell,Fuel,Transport,-54.2,Chase Sapphire,expense,cleared,
TX00205,2025-06-07,Exxon,Fuel,Transport,-61.07,Chase Sapphire,expense,cleared,
TX00206,2025-06-10,Exxon,Fuel,Transport,-60.82,Chase Sapphire,expense,cleared,
TX00207,2025-06-23,Target,Shopping,Lifestyle,-58.33,Chase Sapphire,expense,cleared,
TX00208,2025-06-24,Walmart,Shopping,Lifestyle,-167.05,Chase Sapphire,expense,cleared,
TX00209,2025-06-21,Amazon,Shopping,Lifestyle,-91.97,Chase Sapphire,expense,cleared,
TX00210,2025-06-27,Target,Shopping,Lifestyle,-147.87,Chase Sapphire,expense,cleared,
TX00211,2025-07-01,Acme Corp Payroll,Salary,Income,4250.0,Chase Total Checking,income,cleared,recurring
TX00212,2025-07-15,Acme Corp Payroll,Salary,Income,4250.0,Chase Total Checking,income,cleared,recurring
TX00213,2025-07-02,Evergreen Apartments Rent,Rent,Housing,-2450.0,Chase Total Checking,expense,cleared,recurring
TX00214,2025-07-05,Student Loan Servicer,Debt Payment,Finance,-420.0,Chase Total Checking,expense,cleared,recurring
TX00215,2025-07-07,Vanguard Automatic Investment,Investments,Savings,-900.0,Chase Total Checking,investment,cleared,recurring
TX00216,2025-07-08,Ally Emergency Fund Transfer,Emergency Fund,Savings,-650.0,Chase Total Checking,savings,cleared,recurring
TX00217,2025-07-10,Netflix,Entertainment,Lifestyle,-15.49,Chase Sapphire,expense,cleared,recurring
TX00218,2025-07-11,Spotify Family,Entertainment,Lifestyle,-16.99,Amex Blue Cash,expense,cleared,recurring
TX00219,2025-07-12,Geico Auto Insurance,Insurance,Transport,-118.0,Chase Total Checking,expense,cleared,recurring
TX00220,2025-07-18,Electric Utility,Utilities,Housing,-146.0,Chase Total Checking,expense,cleared,recurring
TX00221,2025-07-22,Internet Fiber,Utilities,Housing,-79.99,Chase Total Checking,expense,cleared,recurring
TX00222,2025-07-07,Safeway,Groceries,Food,-142.16,Amex Blue Cash,expense,cleared,
TX00223,2025-07-09,Costco,Groceries,Food,-102.77,Amex Blue Cash,expense,cleared,
TX00224,2025-07-05,Safeway,Groceries,Food,-148.02,Amex Blue Cash,expense,cleared,
TX00225,2025-07-06,Trader Joes,Groceries,Food,-60.49,Amex Blue Cash,expense,cleared,
TX00226,2025-07-10,Safeway,Groceries,Food,-140.4,Amex Blue Cash,expense,cleared,
TX00227,2025-07-13,Trader Joes,Groceries,Food,-68.1,Amex Blue Cash,expense,cleared,
TX00228,2025-07-15,Whole Foods,Groceries,Food,-85.32,Amex Blue Cash,expense,cleared,
TX00229,2025-07-02,Kroger,Groceries,Food,-172.76,Amex Blue Cash,expense,cleared,
TX00230,2025-07-28,Kroger,Groceries,Food,-160.3,Amex Blue Cash,expense,cleared,
TX00231,2025-07-28,Starbucks,Dining Out,Food,-38.15,Chase Sapphire,expense,cleared,
TX00232,2025-07-11,Uber Eats,Dining Out,Food,-25.54,Chase Sapphire,expense,cleared,
TX00233,2025-07-14,Local Restaurant,Dining Out,Food,-20.01,Chase Sapphire,expense,cleared,
TX00234,2025-07-03,Starbucks,Dining Out,Food,-28.84,Chase Sapphire,expense,cleared,
TX00235,2025-07-17,Uber Eats,Dining Out,Food,-71.23,Chase Sapphire,expense,cleared,
TX00236,2025-07-01,Chipotle,Dining Out,Food,-8.49,Chase Sapphire,expense,cleared,
TX00237,2025-07-07,DoorDash,Dining Out,Food,-16.56,Chase Sapphire,expense,cleared,
TX00238,2025-07-14,Exxon,Fuel,Transport,-59.04,Chase Sapphire,expense,cleared,
TX00239,2025-07-07,Shell,Fuel,Transport,-58.27,Chase Sapphire,expense,cleared,
TX00240,2025-07-09,Shell,Fuel,Transport,-67.57,Chase Sapphire,expense,cleared,
TX00241,2025-07-27,Shell,Fuel,Transport,-66.78,Chase Sapphire,expense,cleared,
TX00242,2025-07-27,Amazon,Shopping,Lifestyle,-87.47,Chase Sapphire,expense,cleared,
TX00243,2025-07-22,Best Buy,Shopping,Lifestyle,-121.62,Chase Sapphire,expense,cleared,
TX00244,2025-07-11,Walmart,Shopping,Lifestyle,-206.14,Chase Sapphire,expense,cleared,
TX00245,2025-07-08,Target,Shopping,Lifestyle,-212.25,Chase Sapphire,expense,cleared,
TX00246,2025-07-24,Delta Airlines,Travel Fund,Goals,-780.0,Chase Sapphire,expense,cleared,planned travel
TX00247,2025-08-01,Acme Corp Payroll,Salary,Income,4250.0,Chase Total Checking,income,cleared,recurring
TX00248,2025-08-15,Acme Corp Payroll,Salary,Income,4250.0,Chase Total Checking,income,cleared,recurring
TX00249,2025-08-02,Evergreen Apartments Rent,Rent,Housing,-2450.0,Chase Total Checking,expense,cleared,recurring
TX00250,2025-08-05,Student Loan Servicer,Debt Payment,Finance,-420.0,Chase Total Checking,expense,cleared,recurring
TX00251,2025-08-07,Vanguard Automatic Investment,Investments,Savings,-900.0,Chase Total Checking,investment,cleared,recurring
TX00252,2025-08-08,Ally Emergency Fund Transfer,Emergency Fund,Savings,-650.0,Chase Total Checking,savings,cleared,recurring
TX00253,2025-08-10,Netflix,Entertainment,Lifestyle,-15.49,Chase Sapphire,expense,cleared,recurring
TX00254,2025-08-11,Spotify Family,Entertainment,Lifestyle,-16.99,Amex Blue Cash,expense,cleared,recurring
TX00255,2025-08-12,Geico Auto Insurance,Insurance,Transport,-118.0,Chase Total Checking,expense,cleared,recurring
TX00256,2025-08-18,Electric Utility,Utilities,Housing,-162.0,Chase Total Checking,expense,cleared,recurring
TX00257,2025-08-22,Internet Fiber,Utilities,Housing,-79.99,Chase Total Checking,expense,cleared,recurring
TX00258,2025-08-15,Costco,Groceries,Food,-82.08,Amex Blue Cash,expense,cleared,
TX00259,2025-08-09,Kroger,Groceries,Food,-95.8,Amex Blue Cash,expense,cleared,
TX00260,2025-08-14,Kroger,Groceries,Food,-133.41,Amex Blue Cash,expense,cleared,
TX00261,2025-08-12,Trader Joes,Groceries,Food,-130.9,Amex Blue Cash,expense,cleared,
TX00262,2025-08-24,Safeway,Groceries,Food,-105.46,Amex Blue Cash,expense,cleared,
TX00263,2025-08-20,Safeway,Groceries,Food,-58.44,Amex Blue Cash,expense,cleared,
TX00264,2025-08-17,Trader Joes,Groceries,Food,-140.29,Amex Blue Cash,expense,cleared,
TX00265,2025-08-27,Safeway,Groceries,Food,-77.23,Amex Blue Cash,expense,cleared,
TX00266,2025-08-19,Safeway,Groceries,Food,-68.65,Amex Blue Cash,expense,cleared,
TX00267,2025-08-18,Starbucks,Dining Out,Food,-17.88,Chase Sapphire,expense,cleared,
TX00268,2025-08-23,DoorDash,Dining Out,Food,-48.64,Chase Sapphire,expense,cleared,
TX00269,2025-08-07,DoorDash,Dining Out,Food,-57.9,Chase Sapphire,expense,cleared,
TX00270,2025-08-28,DoorDash,Dining Out,Food,-13.4,Chase Sapphire,expense,cleared,
